Skagit County, Washington, Average Temperature
191402,32.6,-3.0
191403,39.0,0.0
191404,46.4,2.1
191405,52.1,1.9
191406,53.4,-1.3
191407,59.0,-1.7
191408,59.4,-1.9
191409,52.0,-4.2
191410,48.7,2.1
191411,38.7,0.3
191412,29.0,-4.3
191501,31.6,-2.7
191502,37.9,2.3
191503,43.8,4.8
191504,47.7,3.4
191505,50.2,0.0
191506,54.0,-0.7
191507,59.5,-1.2
191508,61.9,0.6
191509,54.2,-2.0
191510,47.2,0.6
191511,35.0,-3.4
191512,32.7,-0.6
191601,18.1,-16.2
191602,33.0,-2.6
191603,36.4,-2.6
191604,43.9,-0.4
191605,46.1,-4.1
191606,53.6,-1.1
191607,56.6,-4.1
191608,60.0,-1.3
191609,53.7,-2.5
191610,43.2,-3.4
191611,34.0,-4.4
191612,27.8,-5.5
191701,28.0,-6.3
191702,30.6,-5.0
191703,33.9,-5.1
191704,41.0,-3.3
191705,47.4,-2.8
191706,51.0,-3.7
191707,57.8,-2.9
191708,60.0,-1.3
191709,53.9,-2.3
191710,46.8,0.2
191711,42.2,3.8
191712,34.4,1.1
191801,33.8,-0.5
191802,32.0,-3.6
191803,37.3,-1.7
191804,44.6,0.3
191805,47.4,-2.8
191806,55.7,1.0
191807,59.4,-1.3
191808,58.2,-3.1
191809,57.1,0.9
191810,47.2,0.6
191811,37.6,-0.8
191812,33.0,-0.3
191901,32.6,-1.7
191902,32.5,-3.1
191903,36.8,-2.2
191904,44.0,-0.3
191905,48.0,-2.2
191906,50.9,-3.8
191907,57.9,-2.8
191908,58.3,-3.0
191909,54.0,-2.2
191910,42.4,-4.2
191911,36.3,-2.1
191912,29.9,-3.4
192001,30.8,-3.5
192002,34.5,-1.1
192003,38.2,-0.8
192004,40.3,-4.0
192005,45.5,-4.7
192006,52.6,-2.1
192007,60.2,-0.5
192008,59.8,-1.5
192009,52.6,-3.6
192010,44.6,-2.0
192011,38.8,0.4
192012,35.1,1.8
192101,31.4,-2.9
192102,35.0,-0.6
192103,37.2,-1.8
192104,41.5,-2.8
192105,48.4,-1.8
192106,54.4,-0.3
192107,57.1,-3.6
192108,58.6,-2.7
192109,51.1,-5.1
192110,46.7,0.1
192111,37.0,-1.4
192112,29.7,-3.6
192201,26.1,-8.2
192202,29.5,-6.1
192203,34.6,-4.4
192204,41.2,-3.1
192205,48.4,-1.8
192206,56.1,1.4
192207,59.4,-1.3
192208,58.8,-2.5
192209,54.8,-1.4
192210,47.4,0.8
192211,35.6,-2.8
192212,28.0,-5.3
192301,31.2,-3.1
192302,30.0,-5.6
192303,36.6,-2.4
192304,44.8,0.5
192305,49.3,-0.9
192306,54.3,-0.4
192307,60.5,-0.2
192308,61.2,-0.1
192309,55.7,-0.5
192310,47.8,1.2
192311,39.7,1.3
192312,33.7,0.4
192401,30.8,-3.5
192402,39.4,3.8
192403,38.1,-0.9
192404,43.3,-1.0
192405,52.2,2.0
192406,54.4,-0.3
192407,59.2,-1.5
192408,59.0,-2.3
192409,54.5,-1.7
192410,46.9,0.3
192411,35.3,-3.1
192412,28.1,-5.2
192501,32.4,-1.9
192502,38.0,2.4
192503,38.7,-0.3
192504,45.8,1.5
192505,52.0,1.8
192506,54.1,-0.6
192507,60.6,-0.1
192508,58.3,-3.0
192509,54.8,-1.4
192510,43.8,-2.8
192511,37.7,-0.7
192512,38.4,5.1
192601,33.1,-1.2
192602,38.9,3.3
192603,43.2,4.2
192604,49.1,4.8
192605,50.8,0.6
192606,57.2,2.5
192607,61.0,0.3
192608,59.6,-1.7
192609,51.8,-4.4
192610,48.2,1.6
192611,41.6,3.2
192612,32.0,-1.3
192701,30.8,-3.5
192702,35.6,0.0
192703,37.0,-2.0
192704,42.4,-1.9
192705,46.6,-3.6
192706,55.7,1.0
192707,60.9,0.2
192708,60.4,-0.9
192709,53.8,-2.4
192710,47.0,0.4
192711,36.7,-1.7
192712,27.1,-6.2
192801,33.2,-1.1
192802,37.0,1.4
192803,40.6,1.6
192804,44.0,-0.3
192805,53.0,2.8
192806,54.7,0.0
192807,61.8,1.1
192808,58.4,-2.9
192809,53.7,-2.5
192810,44.9,-1.7
192811,38.6,0.2
192812,31.5,-1.8
192901,24.2,-10.1
192902,27.0,-8.6
192903,38.2,-0.8
192904,41.4,-2.9
192905,49.8,-0.4
192906,53.9,-0.8
192907,59.2,-1.5
192908,60.0,-1.3
192909,55.0,-1.2
192910,48.3,1.7
192911,36.3,-2.1
192912,32.9,-0.4
193001,20.8,-13.5
193002,36.1,0.5
193003,39.5,0.5
193004,47.0,2.7
193005,47.8,-2.4
193006,54.2,-0.5
193007,59.0,-1.7
193008,60.7,-0.6
193009,54.6,-1.6
193010,44.5,-2.1
193011,36.2,-2.2
193012,34.2,0.9
193101,36.6,2.3
193102,36.4,0.8
193103,39.4,0.4
193104,45.7,1.4
193105,51.5,1.3
193106,54.2,-0.5
193107,59.5,-1.2
193108,59.0,-2.3
193109,53.9,-2.3
193110,46.7,0.1
193111,34.4,-4.0
193112,32.8,-0.5
193201,29.1,-5.2
193202,32.6,-3.0
193203,38.2,-0.8
193204,44.9,0.6
193205,49.1,-1.1
193206,55.3,0.6
193207,55.9,-4.8
193208,59.0,-2.3
193209,54.7,-1.5
193210,47.2,0.6
193211,40.2,1.8
193212,29.8,-3.5
193301,31.1,-3.2
193302,28.6,-7.0
193303,37.1,-1.9
193304,43.3,-1.0
193305,46.6,-3.6
193306,52.4,-2.3
193307,57.3,-3.4
193308,61.3,0.0
193309,51.4,-4.8
193310,45.8,-0.8
193311,39.0,0.6
193312,34.9,1.6
193401,35.7,1.4
193402,39.8,4.2
193403,43.0,4.0
193404,50.2,5.9
193405,51.7,1.5
193406,54.7,0.0
193407,57.9,-2.8
193408,60.6,-0.7
193409,53.0,-3.2
193410,48.3,1.7
193411,41.6,3.2
193412,34.5,1.2
193501,30.6,-3.7
193502,37.6,2.0
193503,35.5,-3.5
193504,41.9,-2.4
193505,48.4,-1.8
193506,54.2,-0.5
193507,58.1,-2.6
193508,58.0,-3.3
193509,55.5,-0.7
193510,44.7,-1.9
193511,33.9,-4.5
193512,35.2,1.9
193601,32.7,-1.6
193602,23.9,-11.7
193603,34.3,-4.7
193604,45.1,0.8
193605,51.5,1.3
193606,55.4,0.7
193607,58.5,-2.2
193608,60.1,-1.2
193609,53.3,-2.9
193610,48.9,2.3
193611,36.8,-1.6
193612,33.8,0.5
193701,19.4,-14.9
193702,30.5,-5.1
193703,40.3,1.3
193704,41.4,-2.9
193705,48.8,-1.4
193706,54.9,0.2
193707,59.1,-1.6
193708,58.0,-3.3
193709,55.3,-0.9
193710,49.1,2.5
193711,38.4,0.0
193712,34.0,0.7
193801,31.6,-2.7
193802,35.0,-0.6
193803,37.8,-1.2
193804,45.4,1.1
193805,49.9,-0.3
193806,55.6,0.9
193807,60.8,0.1
193808,57.5,-3.8
193809,57.8,1.6
193810,47.2,0.6
193811,34.8,-3.6
193812,33.5,0.2
193901,34.3,0.0
193902,31.2,-4.4
193903,37.5,-1.5
193904,45.7,1.4
193905,50.0,-0.2
193906,52.4,-2.3
193907,59.3,-1.4
193908,61.1,-0.2
193909,55.0,-1.2
193910,46.6,0.0
193911,41.9,3.5
193912,38.7,5.4
194001,34.6,0.3
194002,37.4,1.8
194003,41.7,2.7
194004,46.9,2.6
194005,52.3,2.1
194006,55.7,1.0
194007,59.2,-1.5
194008,60.3,-1.0
194009,58.3,2.1
194010,48.8,2.2
194011,34.6,-3.8
194012,35.3,2.0
194101,35.6,1.3
194102,39.3,3.7
194103,44.1,5.1
194104,47.5,3.2
194105,49.4,-0.8
194106,54.0,-0.7
194107,63.5,2.8
194108,60.0,-1.3
194109,51.8,-4.4
194110,47.3,0.7
194111,39.7,1.3
194112,34.0,0.7
194201,32.6,-1.7
194202,35.8,0.2
194203,38.4,-0.6
194204,46.7,2.4
194205,49.5,-0.7
194206,53.2,-1.5
194207,62.1,1.4
194208,62.4,1.1
194209,55.8,-0.4
194210,48.3,1.7
194211,35.1,-3.3
194212,33.4,0.1
194301,25.4,-8.9
194302,36.9,1.3
194303,36.1,-2.9
194304,45.4,1.1
194305,46.9,-3.3
194306,52.5,-2.2
194307,58.9,-1.8
194308,58.1,-3.2
194309,57.1,0.9
194310,47.4,0.8
194311,39.5,1.1
194312,32.2,-1.1
194401,32.2,-2.1
194402,35.0,-0.6
194403,36.6,-2.4
194404,44.9,0.6
194405,50.0,-0.2
194406,54.9,0.2
194407,60.1,-0.6
194408,59.5,-1.8
194409,56.7,0.5
194410,50.7,4.1
194411,38.9,0.5
194412,32.0,-1.3
194501,34.4,0.1
194502,36.3,0.7
194503,36.8,-2.2
194504,41.0,-3.3
194505,51.2,1.0
194506,53.3,-1.4
194507,60.1,-0.6
194508,60.4,-0.9
194509,53.1,-3.1
194510,46.8,0.2
194511,35.2,-3.2
194512,31.9,-1.4
194601,33.2,-1.1
194602,34.7,-0.9
194603,37.9,-1.1
194604,43.1,-1.2
194605,51.8,1.6
194606,53.1,-1.6
194607,59.4,-1.3
194608,59.5,-1.8
194609,55.1,-1.1
194610,42.7,-3.9
194611,33.2,-5.2
194612,31.4,-1.9
194701,26.9,-7.4
194702,36.4,0.8
194703,40.7,1.7
194704,46.2,1.9
194705,51.9,1.7
194706,54.1,-0.6
194707,59.0,-1.7
194708,58.8,-2.5
194709,55.0,-1.2
194710,46.4,-0.2
194711,36.3,-2.1
194712,34.8,1.5
194801,31.0,-3.3
194802,31.8,-3.8
194803,36.8,-2.2
194804,41.2,-3.1
194805,48.0,-2.2
194806,57.2,2.5
194807,58.0,-2.7
194808,57.8,-3.5
194809,53.0,-3.2
194810,44.9,-1.7
194811,35.6,-2.8
194812,27.6,-5.7
194901,22.4,-11.9
194902,29.1,-6.5
194903,37.8,-1.2
194904,44.5,0.2
194905,51.1,0.9
194906,52.6,-2.1
194907,57.3,-3.4
194908,58.6,-2.7
194909,56.1,-0.1
194910,42.5,-4.1
194911,42.6,4.2
194912,30.7,-2.6
195001,15.0,-19.3
195002,32.0,-3.6
195003,35.2,-3.8
195004,40.9,-3.4
195005,45.6,-4.6
195006,55.3,0.6
195007,59.0,-1.7
195008,59.5,-1.8
195009,54.5,-1.7
195010,43.8,-2.8
195011,36.0,-2.4
195012,37.2,3.9
195101,29.8,-4.5
195102,33.2,-2.4
195103,32.9,-6.1
195104,44.8,0.5
195105,49.4,-0.8
195106,55.4,0.7
195107,60.5,-0.2
195108,58.8,-2.5
195109,55.8,-0.4
195110,45.3,-1.3
195111,36.8,-1.6
195112,29.0,-4.3
195201,27.2,-7.1
195202,34.1,-1.5
195203,36.2,-2.8
195204,44.2,-0.1
195205,50.0,-0.2
195206,51.6,-3.1
195207,59.4,-1.3
195208,59.8,-1.5
195209,56.3,0.1
195210,49.3,2.7
195211,36.0,-2.4
195212,34.0,0.7
195301,36.1,1.8
195302,35.9,0.3
195303,38.0,-1.0
195304,43.5,-0.8
195305,49.5,-0.7
195306,51.5,-3.2
195307,59.3,-1.4
195308,60.0,-1.3
195309,55.3,-0.9
195310,48.1,1.5
195311,40.7,2.3
195312,35.4,2.1
195401,26.7,-7.6
195402,36.0,0.4
195403,35.6,-3.4
195404,39.8,-4.5
195405,49.4,-0.8
195406,50.8,-3.9
195407,56.4,-4.3
195408,56.6,-4.7
195409,54.5,-1.7
195410,45.5,-1.1
195411,42.5,4.1
195412,33.9,0.6
195501,32.0,-2.3
195502,31.9,-3.7
195503,31.7,-7.3
195504,39.6,-4.7
195505,44.7,-5.5
195506,53.0,-1.7
195507,55.6,-5.1
195508,57.8,-3.5
195509,53.8,-2.4
195510,45.3,-1.3
195511,30.7,-7.7
195512,30.0,-3.3
195601,31.0,-3.3
195602,29.7,-5.9
195603,34.9,-4.1
195604,45.2,0.9
195605,52.5,2.3
195606,52.3,-2.4
195607,60.8,0.1
195608,60.0,-1.3
195609,54.4,-1.8
195610,43.7,-2.9
195611,36.4,-2.0
195612,32.7,-0.6
195701,23.4,-10.9
195702,31.5,-4.1
195703,37.9,-1.1
195704,45.1,0.8
195705,53.3,3.1
195706,54.8,0.1
195707,56.9,-3.8
195708,57.8,-3.5
195709,58.3,2.1
195710,45.6,-1.0
195711,37.4,-1.0
195712,35.6,2.3
195801,35.6,1.3
195802,40.6,5.0
195803,38.6,-0.4
195804,44.1,-0.2
195805,55.2,5.0
195806,59.7,5.0
195807,65.9,5.2
195808,62.6,1.3
195809,54.0,-2.2
195810,47.9,1.3
195811,35.0,-3.4
195812,36.2,2.9
195901,31.4,-2.9
195902,34.0,-1.6
195903,37.0,-2.0
195904,43.4,-0.9
195905,48.4,-1.8
195906,54.8,0.1
195907,60.9,0.2
195908,57.2,-4.1
195909,52.4,-3.8
195910,46.1,-0.5
195911,35.6,-2.8
195912,33.7,0.4
196001,29.9,-4.4
196002,35.1,-0.5
196003,37.3,-1.7
196004,43.5,-0.8
196005,47.6,-2.6
196006,53.4,-1.3
196007,61.3,0.6
196008,57.8,-3.5
196009,53.5,-2.7
196010,47.0,0.4
196011,36.3,-2.1
196012,33.2,-0.1
196101,35.6,1.3
196102,37.4,1.8
196103,39.0,0.0
196104,42.4,-1.9
196105,49.1,-1.1
196106,57.2,2.5
196107,61.7,1.0
196108,62.8,1.5
196109,52.5,-3.7
196110,43.8,-2.8
196111,34.7,-3.7
196112,32.0,-1.3
196201,30.8,-3.5
196202,36.4,0.8
196203,35.6,-3.4
196204,45.3,1.0
196205,46.2,-4.0
196206,53.2,-1.5
196207,58.4,-2.3
196208,58.1,-3.2
196209,55.3,-0.9
196210,47.3,0.7
196211,39.9,1.5
196212,35.3,2.0
196301,26.4,-7.9
196302,40.3,4.7
196303,37.9,-1.1
196304,42.8,-1.5
196305,50.2,0.0
196306,53.4,-1.3
196307,57.2,-3.5
196308,60.5,-0.8
196309,58.2,2.0
196310,48.6,2.0
196311,38.3,-0.1
196312,35.1,1.8
196401,34.8,0.5
196402,35.7,0.1
196403,36.3,-2.7
196404,40.8,-3.5
196405,46.8,-3.4
196406,52.5,-2.2
196407,57.9,-2.8
196408,57.0,-4.3
196409,52.5,-3.7
196410,47.2,0.6
196411,36.1,-2.3
196412,29.7,-3.6
196501,32.4,-1.9
196502,35.4,-0.2
196503,37.6,-1.4
196504,44.1,-0.2
196505,46.1,-4.1
196506,53.1,-1.6
196507,60.7,0.0
196508,60.2,-1.1
196509,52.7,-3.5
196510,49.0,2.4
196511,41.8,3.4
196512,33.4,0.1
196601,32.6,-1.7
196602,35.6,0.0
196603,37.6,-1.4
196604,43.8,-0.5
196605,48.9,-1.3
196606,52.3,-2.4
196607,57.0,-3.7
196608,59.0,-2.3
196609,56.5,0.3
196610,45.2,-1.4
196611,39.3,0.9
196612,37.0,3.7
196701,35.1,0.8
196702,36.8,1.2
196703,36.0,-3.0
196704,41.1,-3.2
196705,48.7,-1.5
196706,57.3,2.6
196707,59.5,-1.2
196708,64.2,2.9
196709,58.8,2.6
196710,46.8,0.2
196711,39.5,1.1
196712,32.5,-0.8
196801,32.4,-1.9
196802,38.9,3.3
196803,40.5,1.5
196804,41.4,-2.9
196805,49.2,-1.0
196806,53.2,-1.5
196807,60.9,0.2
196808,58.0,-3.3
196809,54.3,-1.9
196810,44.4,-2.2
196811,39.1,0.7
196812,29.8,-3.5
196901,23.5,-10.8
196902,33.1,-2.5
196903,38.3,-0.7
196904,42.6,-1.7
196905,51.8,1.6
196906,58.2,3.5
196907,57.6,-3.1
196908,57.0,-4.3
196909,54.2,-2.0
196910,45.5,-1.1
196911,40.1,1.7
196912,36.2,2.9
197001,32.7,-1.6
197002,39.6,4.0
197003,38.9,-0.1
197004,40.2,-4.1
197005,48.1,-2.1
197006,56.8,2.1
197007,59.6,-1.1
197008,59.5,-1.8
197009,51.4,-4.8
197010,44.4,-2.2
197011,37.5,-0.9
197012,31.4,-1.9
197101,30.8,-3.5
197102,35.1,-0.5
197103,33.8,-5.2
197104,42.0,-2.3
197105,49.0,-1.2
197106,50.6,-4.1
197107,59.7,-1.0
197108,62.4,1.1
197109,52.4,-3.8
197110,44.1,-2.5
197111,37.6,-0.8
197112,29.3,-4.0
197201,28.0,-6.3
197202,33.8,-1.8
197203,37.8,-1.2
197204,39.5,-4.8
197205,50.3,0.1
197206,52.8,-1.9
197207,59.0,-1.7
197208,60.7,-0.6
197209,50.8,-5.4
197210,44.6,-2.0
197211,38.8,0.4
197212,29.7,-3.6
197301,31.4,-2.9
197302,36.8,1.2
197303,38.9,-0.1
197304,43.3,-1.0
197305,49.5,-0.7
197306,52.8,-1.9
197307,59.1,-1.6
197308,57.2,-4.1
197309,55.7,-0.5
197310,45.4,-1.2
197311,34.6,-3.8
197312,36.6,3.3
197401,31.0,-3.3
197402,35.7,0.1
197403,36.8,-2.2
197404,43.1,-1.2
197405,45.3,-4.9
197406,54.3,-0.4
197407,57.6,-3.1
197408,60.4,-0.9
197409,58.6,2.4
197410,47.7,1.1
197411,39.4,1.0
197412,36.4,3.1
197501,32.3,-2.0
197502,32.2,-3.4
197503,35.6,-3.4
197504,39.6,-4.7
197505,48.3,-1.9
197506,52.1,-2.6
197507,60.9,0.2
197508,56.9,-4.4
197509,56.8,0.6
197510,45.5,-1.1
197511,36.3,-2.1
197512,33.7,0.4
197601,34.9,0.6
197602,34.6,-1.0
197603,34.4,-4.6
197604,42.7,-1.6
197605,48.3,-1.9
197606,50.8,-3.9
197607,57.7,-3.0
197608,56.8,-4.5
197609,56.6,0.4
197610,46.8,0.2
197611,39.6,1.2
197612,36.4,3.1
197701,31.3,-3.0
197702,39.9,4.3
197703,36.9,-2.1
197704,45.4,1.1
197705,46.8,-3.4
197706,55.2,0.5
197707,56.9,-3.8
197708,63.3,2.0
197709,52.5,-3.7
197710,45.4,-1.2
197711,35.2,-3.2
197712,32.7,-0.6
197801,34.2,-0.1
197802,37.9,2.3
197803,40.7,1.7
197804,44.2,-0.1
197805,47.8,-2.4
197806,57.1,2.4
197807,60.5,-0.2
197808,59.6,-1.7
197809,52.8,-3.4
197810,47.8,1.2
197811,33.8,-4.6
197812,29.7,-3.6
197901,26.2,-8.1
197902,32.5,-3.1
197903,40.0,1.0
197904,43.1,-1.2
197905,50.8,0.6
197906,54.2,-0.5
197907,60.7,0.0
197908,60.6,-0.7
197909,57.6,1.4
197910,48.6,2.0
197911,37.1,-1.3
197912,37.0,3.7
198001,28.2,-6.1
198002,36.6,1.0
198003,37.5,-1.5
198004,46.3,2.0
198005,49.0,-1.2
198006,52.2,-2.5
198007,58.8,-1.9
198008,57.6,-3.7
198009,54.2,-2.0
198010,47.9,1.3
198011,40.1,1.7
198012,36.0,2.7
198101,38.8,4.5
198102,36.9,1.3
198103,41.8,2.8
198104,42.6,-1.7
198105,49.0,-1.2
198106,50.7,-4.0
198107,58.4,-2.3
198108,63.2,1.9
198109,55.4,-0.8
198110,44.4,-2.2
198111,40.6,2.2
198112,34.1,0.8
198201,30.8,-3.5
198202,33.5,-2.1
198203,37.6,-1.4
198204,40.5,-3.8
198205,47.9,-2.3
198206,57.2,2.5
198207,57.5,-3.2
198208,59.0,-2.3
198209,55.6,-0.6
198210,46.2,-0.4
198211,34.6,-3.8
198212,34.0,0.7
198301,37.4,3.1
198302,39.1,3.5
198303,42.1,3.1
198304,44.9,0.6
198305,52.2,2.0
198306,53.5,-1.2
198307,56.9,-3.8
198308,60.4,-0.9
198309,52.1,-4.1
198310,45.3,-1.3
198311,40.1,1.7
198312,27.4,-5.9
198401,35.4,1.1
198402,37.7,2.1
198403,41.4,2.4
198404,42.6,-1.7
198405,46.0,-4.2
198406,52.9,-1.8
198407,59.6,-1.1
198408,60.2,-1.1
198409,52.9,-3.3
198410,44.1,-2.5
198411,36.6,-1.8
198412,28.1,-5.2
198501,30.8,-3.5
198502,32.0,-3.6
198503,36.8,-2.2
198504,43.3,-1.0
198505,49.6,-0.6
198506,54.0,-0.7
198507,63.8,3.1
198508,59.8,-1.5
198509,52.4,-3.8
198510,44.6,-2.0
198511,27.2,-11.2
198512,30.1,-3.2
198601,37.6,3.3
198602,34.5,-1.1
198603,42.2,3.2
198604,41.8,-2.5
198605,49.1,-1.1
198606,56.5,1.8
198607,56.6,-4.1
198608,63.5,2.2
198609,53.7,-2.5
198610,48.6,2.0
198611,38.0,-0.4
198612,34.6,1.3
198701,33.6,-0.7
198702,38.9,3.3
198703,40.8,1.8
198704,46.8,2.5
198705,50.5,0.3
198706,55.7,1.0
198707,59.6,-1.1
198708,60.4,-0.9
198709,57.3,1.1
198710,48.9,2.3
198711,41.8,3.4
198712,32.6,-0.7
198801,33.2,-1.1
198802,36.7,1.1
198803,38.4,-0.6
198804,44.5,0.2
198805,49.3,-0.9
198806,53.4,-1.3
198807,58.8,-1.9
198808,59.6,-1.7
198809,54.5,-1.7
198810,49.5,2.9
198811,38.3,-0.1
198812,35.0,1.7
198901,33.4,-0.9
198902,28.3,-7.3
198903,36.2,-2.8
198904,46.3,2.0
198905,48.4,-1.8
198906,56.5,1.8
198907,58.4,-2.3
198908,58.9,-2.4
198909,57.2,1.0
198910,46.4,-0.2
198911,39.5,1.1
198912,36.4,3.1
199001,35.3,1.0
199002,31.6,-4.0
199003,39.6,0.6
199004,46.5,2.2
199005,48.8,-1.4
199006,53.7,-1.0
199007,62.7,2.0
199008,62.5,1.2
199009,58.0,1.8
199010,43.8,-2.8
199011,39.3,0.9
199012,26.8,-6.5
199101,31.1,-3.2
199102,40.4,4.8
199103,36.7,-2.3
199104,43.4,-0.9
199105,48.2,-2.0
199106,51.9,-2.8
199107,60.0,-0.7
199108,60.9,-0.4
199109,57.1,0.9
199110,46.4,-0.2
199111,39.1,0.7
199112,36.6,3.3
199201,36.8,2.5
199202,40.6,5.0
199203,44.9,5.9
199204,46.7,2.4
199205,52.9,2.7
199206,58.5,3.8
199207,60.3,-0.4
199208,61.4,0.1
199209,52.8,-3.4
199210,47.8,1.2
199211,38.7,0.3
199212,30.4,-2.9
199301,27.2,-7.1
199302,34.5,-1.1
199303,40.3,1.3
199304,44.0,-0.3
199305,54.5,4.3
199306,53.5,-1.2
199307,56.4,-4.3
199308,59.9,-1.4
199309,56.1,-0.1
199310,49.6,3.0
199311,34.7,-3.7
199312,34.5,1.2
199401,38.8,4.5
199402,33.0,-2.6
199403,41.3,2.3
199404,46.7,2.4
