Lincoln County, Washington, Precipitation
199602,1.93,0.86
199603,0.88,-0.51
199604,1.56,0.47
199605,1.71,0.45
199606,1.01,0.00
199607,0.26,-0.23
199608,0.20,-0.18
199609,0.59,0.18
199610,2.73,1.59
199611,2.56,1.00
199612,4.21,2.37
199701,1.66,0.15
199702,1.10,0.03
199703,1.62,0.23
199704,1.31,0.22
199705,1.68,0.42
199706,0.98,-0.03
199707,0.69,0.20
199708,0.44,0.06
199709,0.87,0.46
199710,1.23,0.09
199711,1.66,0.10
199712,0.86,-0.98
199801,2.23,0.72
199802,1.55,0.48
199803,1.21,-0.18
199804,0.48,-0.61
199805,2.35,1.09
199806,0.85,-0.16
199807,1.01,0.52
199808,0.21,-0.17
199809,0.27,-0.14
199810,0.26,-0.88
199811,2.55,0.99
199812,3.00,1.16
199901,1.29,-0.22
199902,2.75,1.68
199903,0.54,-0.85
199904,0.37,-0.72
199905,0.74,-0.52
199906,1.22,0.21
199907,0.32,-0.17
199908,0.62,0.24
199909,0.01,-0.40
199910,0.63,-0.51
199911,1.75,0.19
199912,1.72,-0.12
200001,1.90,0.39
200002,1.40,0.33
200003,1.93,0.54
200004,1.37,0.28
200005,1.28,0.02
200006,1.17,0.16
200007,0.45,-0.04
200008,0.00,-0.38
200009,0.84,0.43
200010,0.77,-0.37
200011,1.11,-0.45
200012,0.92,-0.92
200101,0.59,-0.92
200102,0.46,-0.61
200103,1.45,0.06
200104,1.15,0.06
200105,0.60,-0.66
200106,0.97,-0.04
200107,0.29,-0.20
200108,0.30,-0.08
200109,0.12,-0.29
200110,1.30,0.16
200111,2.59,1.03
200112,1.88,0.04
200201,1.06,-0.45
200202,0.70,-0.37
200203,0.52,-0.87
200204,0.74,-0.35
200205,0.94,-0.32
200206,0.75,-0.26
200207,0.19,-0.30
200208,0.13,-0.25
200209,0.12,-0.29
200210,0.16,-0.98
200211,1.35,-0.21
200212,2.77,0.93
200301,2.94,1.43
200302,0.78,-0.29
200303,1.46,0.07
200304,1.43,0.34
200305,0.62,-0.64
200306,0.08,-0.93
200307,0.00,-0.49
200308,0.24,-0.14
200309,0.58,0.17
200310,0.43,-0.71
200311,0.97,-0.59
200312,2.05,0.21
200401,1.21,-0.30
200402,1.50,0.43
200403,0.54,-0.85
200404,0.61,-0.48
200405,1.57,0.31
200406,0.54,-0.47
200407,0.12,-0.37
200408,1.12,0.74
200409,0.55,0.14
200410,0.89,-0.25
200411,0.64,-0.92
200412,1.38,-0.46
200501,1.22,-0.29
200502,0.03,-1.04
200503,1.45,0.06
200504,0.81,-0.28
200505,2.71,1.45
200506,1.06,0.05
200507,0.44,-0.05
200508,0.27,-0.11
200509,0.35,-0.06
200510,1.30,0.16
200511,1.88,0.32
200512,2.30,0.46
200601,3.68,2.17
200602,0.84,-0.23
200603,0.97,-0.42
200604,1.59,0.50
200605,1.24,-0.02
200606,1.71,0.70
200607,0.12,-0.37
200608,0.08,-0.30
200609,0.25,-0.16
200610,1.16,0.02
200611,2.47,0.91
200612,2.02,0.18
200701,0.35,-1.16
200702,1.37,0.30
200703,0.82,-0.57
200704,0.58,-0.51
200705,0.76,-0.50
200706,0.93,-0.08
200707,0.26,-0.23
200708,0.38,0.00
200709,0.41,0.00
200710,0.82,-0.32
200711,1.16,-0.40
200712,2.01,0.17
200801,1.64,0.13
200802,0.35,-0.72
200803,1.07,-0.32
200804,0.40,-0.69
200805,0.37,-0.89
200806,0.76,-0.25
200807,0.05,-0.44
200808,0.34,-0.04
200809,0.12,-0.29
200810,0.35,-0.79
200811,1.40,-0.16
200812,2.22,0.38
200901,1.07,-0.44
200902,0.95,-0.12
200903,1.32,-0.07
200904,0.76,-0.33
200905,1.02,-0.24
200906,0.74,-0.27
200907,0.58,0.09
200908,0.47,0.09
200909,0.35,-0.06
200910,1.67,0.53
200911,1.17,-0.39
200912,1.15,-0.69
201001,1.47,-0.04
201002,1.22,0.15
201003,0.97,-0.42
201004,1.47,0.38
201005,2.04,0.78
201006,2.07,1.06
201007,0.36,-0.13
201008,0.12,-0.26
201009,0.75,0.34
201010,1.79,0.65
201011,2.10,0.54
201012,2.22,0.38
201101,1.30,-0.21
201102,0.48,-0.59
201103,2.00,0.61
201104,1.18,0.09
201105,2.10,0.84
201106,0.63,-0.38
201107,0.27,-0.22
201108,0.05,-0.33
201109,0.11,-0.30
201110,0.67,-0.47
201111,0.76,-0.80
201112,0.71,-1.13
201201,1.14,-0.37
201202,1.00,-0.07
201203,2.71,1.32
201204,1.43,0.34
201205,0.61,-0.65
201206,3.24,2.23
201207,1.01,0.52
201208,0.04,-0.34
201209,0.00,-0.41
201210,1.49,0.35
201211,2.72,1.16
201212,2.27,0.43
201301,0.97,-0.54
201302,0.39,-0.68
201303,0.74,-0.65
201304,0.78,-0.31
201305,1.02,-0.24
201306,2.12,1.11
201307,0.04,-0.45
201308,0.78,0.40
201309,1.31,0.90
201310,0.15,-0.99
201311,1.06,-0.50
201312,0.49,-1.35
201401,0.78,-0.73
201402,1.26,0.19
201403,1.76,0.37
201404,1.24,0.15
201405,0.51,-0.75
201406,1.18,0.17
201407,0.18,-0.31
201408,0.96,0.58
201409,0.18,-0.23
201410,1.46,0.32
201411,1.41,-0.15
201412,1.63,-0.21
201501,1.30,-0.21
201502,1.30,0.23
201503,1.82,0.43
201504,0.51,-0.58
201505,1.18,-0.08
201506,0.03,-0.98
201507,0.10,-0.39
201508,0.07,-0.31
201509,0.57,0.16
201510,0.84,-0.30
201511,1.04,-0.52
201512,3.58,1.74
201601,2.24,0.73
201602,0.96,-0.11
201603,3.37,1.98
201604,0.59,-0.50
201605,0.70,-0.56
201606,1.06,0.05
201607,0.57,0.08
201608,0.17,-0.21
201609,0.31,-0.10
201610,4.31,3.17
201611,1.65,0.09
201612,1.47,-0.37
201701,1.29,-0.22
201702,2.76,1.69
201703,2.80,1.41
201704,1.96,0.87
201705,1.26,0.00
201706,0.50,-0.51
201707,0.00,-0.49
201708,0.01,-0.37
201709,0.55,0.14
201710,1.19,0.05
201711,2.30,0.74
201712,1.67,-0.17
201801,2.24,0.73
201802,1.10,0.03
201803,1.48,0.09
201804,2.17,1.08
201805,1.19,-0.07
201806,0.31,-0.70
201807,0.11,-0.38
201808,0.06,-0.32
201809,0.06,-0.35
201810,1.32,0.18
201811,1.37,-0.19
201812,1.82,-0.02
201901,1.34,-0.17
201902,0.97,-0.10
201903,0.64,-0.75
201904,1.18,0.09
201905,1.31,0.05
201906,0.25,-0.76
201907,0.28,-0.21
201908,0.57,0.19
201909,1.65,1.24
201910,1.15,0.01
201911,0.49,-1.07
