Okanogan County, Washington, Average Temperature
191403,33.8,-0.5
191404,44.6,2.9
191405,50.4,0.4
191406,53.9,-2.0
191407,63.6,-0.3
191408,63.1,-0.4
191409,50.6,-5.0
191410,44.2,1.5
191411,33.1,1.8
191412,16.8,-7.0
191501,19.1,-5.7
191502,30.3,2.8
191503,37.4,3.1
191504,46.2,4.5
191505,48.2,-1.8
191506,54.4,-1.5
191507,60.9,-3.0
191508,66.9,3.4
191509,52.8,-2.8
191510,43.9,1.2
191511,26.0,-5.3
191512,22.7,-1.1
191601,6.8,-18.0
191602,23.2,-4.3
191603,31.1,-3.2
191604,41.5,-0.2
191605,45.7,-4.3
191606,53.8,-2.1
191607,58.0,-5.9
191608,62.0,-1.5
191609,53.9,-1.7
191610,41.6,-1.1
191611,25.1,-6.2
191612,15.0,-8.8
191701,16.2,-8.6
191702,21.9,-5.6
191703,25.5,-8.8
191704,37.6,-4.1
191705,48.2,-1.8
191706,52.6,-3.3
191707,63.6,-0.3
191708,64.3,0.8
191709,54.3,-1.3
191710,44.7,2.0
191711,34.4,3.1
191712,24.9,1.1
191801,24.9,0.1
191802,22.6,-4.9
191803,32.6,-1.7
191804,42.7,1.0
191805,46.9,-3.1
191806,58.9,3.0
191807,62.6,-1.3
191808,58.7,-4.8
191809,59.3,3.7
191810,45.0,2.3
191811,31.1,-0.2
191812,25.0,1.2
191901,24.0,-0.8
191902,23.7,-3.8
191903,30.8,-3.5
191904,42.7,1.0
191905,47.9,-2.1
191906,52.5,-3.4
191907,63.2,-0.7
191908,62.5,-1.0
191909,54.0,-1.6
191910,39.0,-3.7
191911,28.0,-3.3
191912,17.4,-6.4
192001,21.2,-3.6
192002,28.8,1.3
192003,33.6,-0.7
192004,38.9,-2.8
192005,46.1,-3.9
192006,53.6,-2.3
192007,65.4,1.5
192008,64.1,0.6
192009,52.9,-2.7
192010,40.8,-1.9
192011,32.7,1.4
192012,27.1,3.3
192101,22.4,-2.4
192102,26.3,-1.2
192103,33.5,-0.8
192104,38.5,-3.2
192105,50.3,0.3
192106,56.6,0.7
192107,61.9,-2.0
192108,62.5,-1.0
192109,48.6,-7.0
192110,44.6,1.9
192111,28.7,-2.6
192112,20.4,-3.4
192201,13.6,-11.2
192202,16.1,-11.4
192203,27.7,-6.6
192204,39.1,-2.6
192205,47.2,-2.8
192206,60.4,4.5
192207,64.8,0.9
192208,62.6,-0.9
192209,55.6,0.0
192210,45.3,2.6
192211,28.7,-2.6
192212,16.2,-7.6
192301,23.7,-1.1
192302,19.9,-7.6
192303,31.6,-2.7
192304,42.2,0.5
192305,48.6,-1.4
192306,54.8,-1.1
192307,64.1,0.2
192308,62.9,-0.6
192309,56.0,0.4
192310,44.2,1.5
192311,33.1,1.8
192312,23.9,0.1
192401,16.9,-7.9
192402,32.8,5.3
192403,34.3,0.0
192404,40.6,-1.1
192405,54.6,4.6
192406,56.4,0.5
192407,64.7,0.8
192408,62.1,-1.4
192409,54.6,-1.0
192410,42.8,0.1
192411,28.0,-3.3
192412,17.0,-6.8
192501,21.2,-3.6
192502,32.0,4.5
192503,35.7,1.4
192504,44.6,2.9
192505,52.5,2.5
192506,57.4,1.5
192507,66.6,2.7
192508,60.6,-2.9
192509,54.4,-1.2
192510,41.8,-0.9
192511,30.3,-1.0
192512,30.7,6.9
192601,24.1,-0.7
192602,32.9,5.4
192603,39.5,5.2
192604,46.8,5.1
192605,48.7,-1.3
192606,59.5,3.6
192607,66.9,3.0
192608,61.9,-1.6
192609,48.2,-7.4
192610,43.6,0.9
192611,33.9,2.6
192612,23.2,-0.6
192701,19.6,-5.2
192702,26.1,-1.4
192703,32.1,-2.2
192704,39.6,-2.1
192705,46.1,-3.9
192706,57.1,1.2
192707,63.9,0.0
192708,62.9,-0.6
192709,51.7,-3.9
192710,42.3,-0.4
192711,29.6,-1.7
192712,16.4,-7.4
192801,22.9,-1.9
192802,28.6,1.1
192803,35.0,0.7
192804,38.9,-2.8
192805,52.9,2.9
192806,56.5,0.6
192807,65.2,1.3
192808,61.6,-1.9
192809,55.4,-0.2
192810,41.8,-0.9
192811,31.4,0.1
192812,21.6,-2.2
192901,11.1,-13.7
192902,15.5,-12.0
192903,35.4,1.1
192904,38.8,-2.9
192905,49.5,-0.5
192906,55.2,-0.7
192907,62.0,-1.9
192908,63.8,0.3
192909,52.7,-2.9
192910,44.8,2.1
192911,28.1,-3.2
192912,24.7,0.9
193001,5.4,-19.4
193002,28.4,0.9
193003,35.6,1.3
193004,45.9,4.2
193005,48.7,-1.3
193006,53.8,-2.1
193007,63.6,-0.3
193008,64.2,0.7
193009,55.2,-0.4
193010,41.0,-1.7
193011,28.4,-2.9
193012,24.1,0.3
193101,27.4,2.6
193102,26.1,-1.4
193103,34.5,0.2
193104,42.6,0.9
193105,52.3,2.3
193106,56.2,0.3
193107,64.4,0.5
193108,62.5,-1.0
193109,52.4,-3.2
193110,43.1,0.4
193111,27.6,-3.7
193112,22.0,-1.8
193201,17.7,-7.1
193202,21.7,-5.8
193203,31.4,-2.9
193204,42.9,1.2
193205,48.6,-1.4
193206,58.5,2.6
193207,58.6,-5.3
193208,61.5,-2.0
193209,54.2,-1.4
193210,42.7,0.0
193211,33.2,1.9
193212,20.7,-3.1
193301,23.0,-1.8
193302,17.0,-10.5
193303,31.9,-2.4
193304,41.3,-0.4
193305,44.9,-5.1
193306,54.6,-1.3
193307,62.2,-1.7
193308,63.4,-0.1
193309,50.0,-5.6
193310,43.4,0.7
193311,33.6,2.3
193312,28.2,4.4
193401,27.6,2.8
193402,31.5,4.0
193403,37.9,3.6
193404,49.1,7.4
193405,51.3,1.3
193406,57.8,1.9
193407,62.3,-1.6
193408,63.2,-0.3
193409,51.4,-4.2
193410,44.4,1.7
193411,35.5,4.2
193412,25.0,1.2
193501,21.3,-3.5
193502,28.8,1.3
193503,30.3,-4.0
193504,38.8,-2.9
193505,48.8,-1.2
193506,55.0,-0.9
193507,61.6,-2.3
193508,59.9,-3.6
193509,56.4,0.8
193510,41.4,-1.3
193511,26.2,-5.1
193512,25.1,1.3
193601,24.0,-0.8
193602,8.6,-18.9
193603,30.3,-4.0
193604,44.4,2.7
193605,53.7,3.7
193606,56.4,0.5
193607,62.7,-1.2
193608,62.5,-1.0
193609,52.9,-2.7
193610,46.5,3.8
193611,27.0,-4.3
193612,25.7,1.9
193701,5.6,-19.2
193702,18.8,-8.7
193703,33.8,-0.5
193704,39.4,-2.3
193705,49.0,-1.0
193706,55.7,-0.2
193707,63.6,-0.3
193708,57.9,-5.6
193709,55.4,-0.2
193710,45.7,3.0
193711,32.3,1.0
193712,26.6,2.8
193801,25.1,0.3
193802,25.6,-1.9
193803,32.6,-1.7
193804,42.4,0.7
193805,50.6,0.6
193806,59.1,3.2
193807,66.2,2.3
193808,60.0,-3.5
193809,59.8,4.2
193810,45.0,2.3
193811,28.1,-3.2
193812,23.7,-0.1
193901,27.0,2.2
193902,21.9,-5.6
193903,33.1,-1.2
193904,44.3,2.6
193905,51.4,1.4
193906,53.6,-2.3
193907,64.2,0.3
193908,64.5,1.0
193909,56.2,0.6
193910,44.1,1.4
193911,32.8,1.5
193912,31.5,7.7
194001,25.4,0.6
194002,29.1,1.6
194003,37.7,3.4
194004,44.1,2.4
194005,51.9,1.9
194006,59.1,3.2
194007,64.1,0.2
194008,62.5,-1.0
194009,59.2,3.6
194010,46.4,3.7
194011,27.1,-4.2
194012,27.3,3.5
194101,27.1,2.3
194102,30.6,3.1
194103,39.5,5.2
194104,46.2,4.5
194105,49.5,-0.5
194106,56.0,0.1
194107,65.8,1.9
194108,60.9,-2.6
194109,49.6,-6.0
194110,42.9,0.2
194111,34.4,3.1
194112,27.6,3.8
194201,20.6,-4.2
194202,28.8,1.3
194203,33.5,-0.8
194204,44.0,2.3
194205,47.6,-2.4
194206,53.5,-2.4
194207,63.5,-0.4
194208,64.2,0.7
194209,56.6,1.0
194210,44.9,2.2
194211,28.4,-2.9
194212,24.1,0.3
194301,13.7,-11.1
194302,27.4,-0.1
194303,29.2,-5.1
194304,44.1,2.4
194305,45.8,-4.2
194306,53.0,-2.9
194307,62.6,-1.3
194308,60.6,-2.9
194309,56.6,1.0
194310,44.2,1.5
194311,32.5,1.2
194312,25.3,1.5
194401,21.6,-3.2
194402,26.6,-0.9
194403,31.6,-2.7
194404,43.4,1.7
194405,49.9,-0.1
194406,57.5,1.6
194407,64.0,0.1
194408,60.8,-2.7
194409,57.3,1.7
194410,48.0,5.3
194411,32.1,0.8
194412,21.4,-2.4
194501,26.2,1.4
194502,30.1,2.6
194503,32.3,-2.0
194504,39.1,-2.6
194505,50.8,0.8
194506,55.1,-0.8
194507,64.5,0.6
194508,63.2,-0.3
194509,52.6,-3.0
194510,45.2,2.5
194511,28.4,-2.9
194512,25.1,1.3
194601,24.5,-0.3
194602,26.1,-1.4
194603,34.4,0.1
194604,42.7,1.0
194605,52.9,2.9
194606,53.6,-2.3
194607,62.2,-1.7
194608,62.5,-1.0
194609,53.2,-2.4
194610,39.6,-3.1
194611,26.3,-5.0
194612,23.9,0.1
194701,19.5,-5.3
194702,28.2,0.7
194703,37.2,2.9
194704,43.9,2.2
194705,54.1,4.1
194706,54.8,-1.1
194707,61.7,-2.2
194708,59.5,-4.0
194709,54.7,-0.9
194710,44.1,1.4
194711,31.9,0.6
194712,27.2,3.4
194801,21.4,-3.4
194802,23.8,-3.7
194803,31.1,-3.2
194804,38.4,-3.3
194805,48.0,-2.0
194806,59.5,3.6
194807,58.7,-5.2
194808,57.9,-5.6
194809,52.2,-3.4
194810,40.8,-1.9
194811,30.5,-0.8
194812,15.0,-8.8
194901,7.1,-17.7
194902,18.6,-8.9
194903,33.0,-1.3
194904,43.8,2.1
194905,53.2,3.2
194906,54.9,-1.0
194907,61.3,-2.6
194908,60.8,-2.7
194909,55.0,-0.6
194910,40.2,-2.5
194911,36.3,5.0
194912,23.0,-0.8
195001,2.9,-21.9
195002,24.5,-3.0
195003,30.8,-3.5
195004,38.5,-3.2
195005,47.2,-2.8
195006,55.6,-0.3
195007,62.6,-1.3
195008,62.4,-1.1
195009,55.7,0.1
195010,40.9,-1.8
195011,30.1,-1.2
195012,29.5,5.7
195101,21.7,-3.1
195102,24.9,-2.6
195103,26.8,-7.5
195104,41.8,0.1
195105,50.1,0.1
195106,55.5,-0.4
195107,63.3,-0.6
195108,61.4,-2.1
195109,54.4,-1.2
195110,42.0,-0.7
195111,29.9,-1.4
195112,17.4,-6.4
195201,16.6,-8.2
195202,25.2,-2.3
195203,31.3,-3.0
195204,43.4,1.7
195205,50.1,0.1
195206,54.6,-1.3
195207,62.6,-1.3
195208,61.6,-1.9
195209,57.3,1.7
195210,47.4,4.7
195211,29.2,-2.1
195212,27.8,4.0
195301,30.9,6.1
195302,31.0,3.5
195303,35.2,0.9
195304,40.5,-1.2
195305,48.1,-1.9
195306,52.0,-3.9
195307,61.9,-2.0
195308,61.0,-2.5
195309,54.9,-0.7
195310,45.0,2.3
195311,34.1,2.8
195312,28.6,4.8
195401,18.9,-5.9
195402,30.3,2.8
195403,30.4,-3.9
195404,38.1,-3.6
195405,49.9,-0.1
195406,51.3,-4.6
195407,59.8,-4.1
195408,58.4,-5.1
195409,52.9,-2.7
195410,40.3,-2.4
195411,36.9,5.6
195412,24.8,1.0
195501,22.9,-1.9
195502,22.8,-4.7
195503,25.0,-9.3
195504,36.4,-5.3
195505,45.2,-4.8
195506,55.8,-0.1
195507,60.1,-3.8
195508,61.0,-2.5
195509,54.1,-1.5
195510,41.8,-0.9
195511,22.0,-9.3
195512,18.5,-5.3
195601,23.0,-1.8
195602,16.6,-10.9
195603,28.0,-6.3
195604,43.5,1.8
195605,52.3,2.3
195606,53.4,-2.5
195607,64.0,0.1
195608,61.8,-1.7
195609,54.0,-1.6
195610,41.4,-1.3
195611,27.5,-3.8
195612,24.7,0.9
195701,10.2,-14.6
195702,21.8,-5.7
195703,33.0,-1.3
195704,43.0,1.3
195705,54.2,4.2
195706,56.3,0.4
195707,60.0,-3.9
195708,58.2,-5.3
195709,57.6,2.0
195710,41.4,-1.3
195711,31.1,-0.2
195712,28.8,5.0
195801,28.3,3.5
195802,34.6,7.1
195803,34.5,0.2
195804,41.0,-0.7
195805,56.0,6.0
195806,60.8,4.9
195807,66.3,2.4
195808,66.2,2.7
195809,52.8,-2.8
195810,43.7,1.0
195811,26.9,-4.4
195812,26.6,2.8
195901,22.9,-1.9
195902,23.9,-3.6
195903,32.9,-1.4
195904,42.1,0.4
195905,46.7,-3.3
195906,55.1,-0.8
195907,63.3,-0.6
195908,59.0,-4.5
195909,51.3,-4.3
195910,41.7,-1.0
195911,26.9,-4.4
195912,25.5,1.7
196001,18.5,-6.3
196002,27.0,-0.5
196003,32.3,-2.0
196004,41.3,-0.4
196005,46.5,-3.5
196006,55.9,0.0
196007,67.2,3.3
196008,59.5,-4.0
196009,53.7,-1.9
196010,44.6,1.9
196011,29.7,-1.6
196012,21.9,-1.9
196101,25.8,1.0
196102,32.3,4.8
196103,34.3,0.0
196104,40.9,-0.8
196105,48.8,-1.2
196106,60.1,4.2
196107,65.1,1.2
196108,66.2,2.7
196109,51.2,-4.4
196110,40.2,-2.5
196111,25.2,-6.1
196112,22.6,-1.2
196201,19.3,-5.5
196202,28.9,1.4
196203,30.5,-3.8
196204,43.9,2.2
196205,46.8,-3.2
196206,54.9,-1.0
196207,61.4,-2.5
196208,59.3,-4.2
196209,55.4,-0.2
196210,43.3,0.6
196211,34.0,2.7
196212,29.2,5.4
196301,19.6,-5.2
196302,32.1,4.6
196303,35.5,1.2
196304,40.0,-1.7
196305,49.8,-0.2
196306,56.1,0.2
196307,60.0,-3.9
196308,62.7,-0.8
196309,58.5,2.9
196310,45.2,2.5
196311,31.9,0.6
196312,24.3,0.5
196401,25.2,0.4
196402,25.7,-1.8
196403,30.9,-3.4
196404,39.6,-2.1
196405,47.4,-2.6
196406,54.9,-1.0
196407,60.9,-3.0
196408,57.3,-6.2
196409,50.9,-4.7
196410,42.7,0.0
196411,31.3,0.0
196412,19.6,-4.2
196501,24.8,0.0
196502,27.3,-0.2
196503,30.2,-4.1
196504,42.6,0.9
196505,47.5,-2.5
196506,56.0,0.1
196507,63.4,-0.5
196508,62.5,-1.0
196509,50.7,-4.9
196510,45.2,2.5
196511,34.0,2.7
196512,25.4,1.6
196601,21.6,-3.2
196602,28.5,1.0
196603,32.6,-1.7
196604,41.5,-0.2
196605,50.4,0.4
196606,53.2,-2.7
196607,59.8,-4.1
196608,61.4,-2.1
196609,58.2,2.6
196610,42.2,-0.5
196611,33.6,2.3
196612,29.4,5.6
196701,29.4,4.6
196702,33.3,5.8
196703,33.0,-1.3
196704,37.8,-3.9
196705,48.3,-1.7
196706,58.7,2.8
196707,63.1,-0.8
196708,66.8,3.3
196709,59.9,4.3
196710,43.0,0.3
196711,32.6,1.3
196712,23.2,-0.6
196801,23.9,-0.9
196802,31.4,3.9
196803,36.6,2.3
196804,38.9,-2.8
196805,48.6,-1.4
196806,54.6,-1.3
196807,64.2,0.3
196808,58.6,-4.9
196809,54.3,-1.3
196810,40.4,-2.3
196811,32.1,0.8
196812,20.4,-3.4
196901,9.5,-15.3
196902,21.9,-5.6
196903,31.1,-3.2
196904,41.5,-0.2
196905,52.4,2.4
196906,60.9,5.0
196907,60.8,-3.1
196908,60.0,-3.5
196909,54.4,-1.2
196910,40.8,-1.9
196911,32.0,0.7
196912,26.5,2.7
197001,20.8,-4.0
197002,30.0,2.5
197003,32.7,-1.6
197004,38.2,-3.5
197005,49.2,-0.8
197006,60.0,4.1
197007,64.7,0.8
197008,63.0,-0.5
197009,49.9,-5.7
197010,40.8,-1.9
197011,28.7,-2.6
197012,20.4,-3.4
197101,22.7,-2.1
197102,27.5,0.0
197103,28.0,-6.3
197104,39.9,-1.8
197105,51.4,1.4
197106,52.3,-3.6
197107,63.1,-0.8
197108,66.1,2.6
197109,50.0,-5.6
197110,40.2,-2.5
197111,31.0,-0.3
197112,17.3,-6.5
197201,17.4,-7.4
197202,25.3,-2.2
197203,34.2,-0.1
197204,37.0,-4.7
197205,50.8,0.8
197206,55.2,-0.7
197207,60.0,-3.9
197208,63.5,0.0
197209,49.0,-6.6
197210,41.5,-1.2
197211,33.3,2.0
197212,21.4,-2.4
197301,20.7,-4.1
197302,27.8,0.3
197303,35.5,1.2
197304,42.1,0.4
197305,49.9,-0.1
197306,54.9,-1.0
197307,63.7,-0.2
197308,62.2,-1.3
197309,54.8,-0.8
197310,41.8,-0.9
197311,27.7,-3.6
197312,28.6,4.8
197401,21.2,-3.6
197402,30.8,3.3
197403,32.7,-1.6
197404,41.4,-0.3
197405,45.3,-4.7
197406,58.2,2.3
197407,60.3,-3.6
197408,63.1,-0.4
197409,56.4,0.8
197410,43.9,1.2
197411,33.1,1.8
197412,27.6,3.8
197501,20.5,-4.3
197502,20.6,-6.9
197503,28.8,-5.5
197504,38.0,-3.7
197505,47.9,-2.1
197506,53.8,-2.1
197507,65.9,2.0
197508,58.1,-5.4
197509,55.4,-0.2
197510,41.9,-0.8
197511,30.1,-1.2
197512,25.9,2.1
197601,24.9,0.1
197602,28.2,0.7
197603,29.5,-4.8
197604,40.2,-1.5
197605,48.0,-2.0
197606,51.9,-4.0
197607,60.7,-3.2
197608,58.3,-5.2
197609,56.8,1.2
197610,42.6,-0.1
197611,31.9,0.6
197612,25.5,1.7
197701,18.6,-6.2
197702,31.5,4.0
197703,33.8,-0.5
197704,44.9,3.2
197705,46.3,-3.7
197706,59.2,3.3
197707,61.1,-2.8
197708,66.0,2.5
197709,51.2,-4.4
197710,41.4,-1.3
197711,28.4,-2.9
197712,22.1,-1.7
197801,23.9,-0.9
197802,29.3,1.8
197803,35.6,1.3
197804,41.2,-0.5
197805,46.9,-3.1
197806,57.2,1.3
197807,63.3,-0.6
197808,60.2,-3.3
197809,51.5,-4.1
197810,42.7,0.0
197811,26.1,-5.2
197812,17.4,-6.4
197901,11.1,-13.7
197902,24.1,-3.4
197903,35.4,1.1
197904,40.2,-1.5
197905,50.6,0.6
197906,57.4,1.5
197907,64.8,0.9
197908,64.1,0.6
197909,56.7,1.1
197910,46.1,3.4
197911,27.5,-3.8
197912,29.2,5.4
198001,15.7,-9.1
198002,27.8,0.3
198003,32.4,-1.9
198004,44.4,2.7
198005,50.1,0.1
198006,52.9,-3.0
198007,61.5,-2.4
198008,58.7,-4.8
198009,53.6,-2.0
198010,43.7,1.0
198011,32.2,0.9
198012,26.1,2.3
198101,31.3,6.5
198102,29.7,2.2
198103,37.3,3.0
198104,40.6,-1.1
198105,48.5,-1.5
198106,50.9,-5.0
198107,60.1,-3.8
198108,66.0,2.5
198109,54.4,-1.2
198110,40.9,-1.8
198111,33.9,2.6
198112,23.8,0.0
198201,21.6,-3.2
198202,26.2,-1.3
198203,33.4,-0.9
198204,37.0,-4.7
198205,47.8,-2.2
198206,59.7,3.8
198207,60.2,-3.7
198208,61.2,-2.3
198209,54.0,-1.6
198210,41.8,-0.9
198211,26.8,-4.5
198212,23.3,-0.5
198301,29.4,4.6
198302,31.8,4.3
198303,36.8,2.5
198304,41.3,-0.4
198305,51.2,1.2
198306,54.8,-1.1
198307,57.6,-6.3
198308,63.1,-0.4
198309,50.6,-5.0
198310,42.8,0.1
198311,34.4,3.1
198312,14.3,-9.5
198401,25.1,0.3
198402,29.2,1.7
198403,36.5,2.2
198404,39.2,-2.5
198405,44.8,-5.2
198406,53.2,-2.7
198407,62.7,-1.2
198408,62.7,-0.8
198409,50.5,-5.1
198410,39.1,-3.6
198411,30.0,-1.3
198412,13.7,-10.1
198501,20.1,-4.7
198502,20.4,-7.1
198503,30.8,-3.5
198504,41.9,0.2
198505,51.0,1.0
198506,56.4,0.5
198507,68.2,4.3
198508,60.2,-3.3
198509,49.6,-6.0
198510,40.8,-1.9
198511,16.8,-14.5
198512,17.4,-6.4
198601,26.2,1.4
198602,25.8,-1.7
198603,37.3,3.0
198604,40.1,-1.6
198605,49.4,-0.6
198606,59.8,3.9
198607,58.7,-5.2
198608,67.0,3.5
198609,50.1,-5.5
198610,45.6,2.9
198611,31.1,-0.2
198612,24.6,0.8
198701,23.7,-1.1
198702,31.0,3.5
198703,36.2,1.9
198704,45.6,3.9
198705,51.4,1.4
198706,59.3,3.4
198707,61.4,-2.5
198708,62.0,-1.5
198709,59.0,3.4
198710,46.2,3.5
198711,35.0,3.7
198712,23.1,-0.7
198801,21.1,-3.7
198802,29.4,1.9
198803,34.8,0.5
198804,43.8,2.1
198805,48.8,-1.2
198806,55.2,-0.7
198807,62.6,-1.3
198808,62.2,-1.3
198809,55.0,-0.6
198810,47.9,5.2
198811,31.7,0.4
198812,24.2,0.4
198901,24.4,-0.4
198902,19.6,-7.9
198903,31.1,-3.2
198904,44.0,2.3
198905,48.6,-1.4
198906,58.2,2.3
198907,62.4,-1.5
198908,60.0,-3.5
198909,55.8,0.2
198910,42.4,-0.3
198911,33.6,2.3
198912,28.2,4.4
199001,28.1,3.3
199002,24.4,-3.1
199003,35.8,1.5
199004,45.1,3.4
199005,46.9,-3.1
199006,54.3,-1.6
199007,64.8,0.9
199008,63.9,0.4
199009,60.0,4.4
199010,39.7,-3.0
199011,33.4,2.1
199012,16.3,-7.5
199101,20.5,-4.3
199102,34.8,7.3
199103,32.2,-2.1
199104,41.5,-0.2
199105,47.9,-2.1
199106,52.4,-3.5
199107,62.8,-1.1
199108,64.0,0.5
199109,58.3,2.7
199110,42.0,-0.7
199111,30.6,-0.7
199112,27.8,4.0
199201,27.4,2.6
199202,33.5,6.0
199203,40.8,6.5
199204,43.4,1.7
199205,53.0,3.0
199206,62.0,6.1
199207,61.4,-2.5
199208,62.8,-0.7
199209,52.1,-3.5
199210,44.0,1.3
199211,30.4,-0.9
199212,18.2,-5.6
199301,16.8,-8.0
199302,23.6,-3.9
199303,32.9,-1.4
199304,39.7,-2.0
199305,54.9,4.9
199306,54.0,-1.9
199307,56.0,-7.9
199308,59.9,-3.6
199309,55.5,-0.1
199310,46.2,3.5
199311,26.9,-4.4
199312,25.9,2.1
199401,30.1,5.3
199402,24.9,-2.6
199403,37.2,2.9
199404,45.0,3.3
199405,51.2,1.2
199406,54.6,-1.3
199407,66.8,2.9
199408,63.4,-0.1
199409,59.2,3.6
