Okanogan County, Washington, Precipitation
199602,3.86,1.70
199603,0.74,-1.49
199604,2.41,0.82
199605,2.63,0.67
199606,1.18,-0.50
199607,0.54,-0.37
199608,0.22,-0.59
199609,1.82,0.91
199610,2.25,0.31
199611,3.04,0.09
199612,7.15,3.91
199701,2.83,-0.10
199702,1.25,-0.91
199703,2.71,0.48
199704,1.72,0.13
199705,2.02,0.06
199706,3.27,1.59
199707,1.36,0.45
199708,0.70,-0.11
199709,2.05,1.14
199710,3.40,1.46
199711,1.55,-1.40
199712,1.61,-1.63
199801,4.78,1.85
199802,3.83,1.67
199803,2.14,-0.09
199804,1.75,0.16
199805,4.40,2.44
199806,1.92,0.24
199807,1.34,0.43
199808,0.17,-0.64
199809,0.30,-0.61
199810,0.97,-0.97
199811,4.85,1.90
199812,4.82,1.58
199901,3.73,0.80
199902,5.02,2.86
199903,2.97,0.74
199904,0.58,-1.01
199905,1.62,-0.34
199906,0.94,-0.74
199907,0.74,-0.17
199908,1.65,0.84
199909,0.19,-0.72
199910,1.17,-0.77
199911,3.92,0.97
199912,2.36,-0.88
200001,2.88,-0.05
200002,2.58,0.42
200003,1.76,-0.47
200004,0.60,-0.99
200005,1.21,-0.75
200006,0.99,-0.69
200007,0.87,-0.04
200008,0.25,-0.56
200009,0.55,-0.36
200010,1.30,-0.64
200011,1.57,-1.38
200012,1.84,-1.40
200101,1.12,-1.81
200102,1.11,-1.05
200103,2.01,-0.22
200104,1.01,-0.58
200105,0.68,-1.28
200106,1.70,0.02
200107,0.72,-0.19
200108,0.47,-0.34
200109,0.74,-0.17
200110,1.88,-0.06
200111,3.58,0.63
200112,3.93,0.69
200201,2.57,-0.36
200202,2.10,-0.06
200203,1.94,-0.29
200204,0.85,-0.74
200205,1.46,-0.50
200206,0.79,-0.89
200207,0.52,-0.39
200208,0.35,-0.46
200209,0.47,-0.44
200210,0.16,-1.78
200211,1.46,-1.49
200212,5.73,2.49
200301,4.50,1.57
200302,0.91,-1.25
200303,2.28,0.05
200304,2.83,1.24
200305,0.85,-1.11
200306,0.36,-1.32
200307,0.03,-0.88
200308,0.07,-0.74
200309,0.48,-0.43
200310,3.37,1.43
200311,2.85,-0.10
200312,2.99,-0.25
200401,2.22,-0.71
200402,1.84,-0.32
200403,1.82,-0.41
200404,0.96,-0.63
200405,2.16,0.20
200406,1.87,0.19
200407,0.25,-0.66
200408,2.17,1.36
200409,1.15,0.24
200410,2.18,0.24
200411,0.96,-1.99
200412,2.72,-0.52
200501,2.05,-0.88
200502,0.23,-1.93
200503,1.77,-0.46
200504,1.31,-0.28
200505,2.60,0.64
200506,2.29,0.61
200507,0.61,-0.30
200508,0.25,-0.56
200509,0.67,-0.24
200510,2.23,0.29
200511,3.25,0.30
200512,3.23,-0.01
200601,5.96,3.03
200602,2.88,0.72
200603,2.33,0.10
200604,1.99,0.40
200605,2.03,0.07
200606,1.79,0.11
200607,0.50,-0.41
200608,0.04,-0.77
200609,0.78,-0.13
200610,0.78,-1.16
200611,5.93,2.98
200612,4.95,1.71
200701,2.10,-0.83
200702,2.33,0.17
200703,1.47,-0.76
200704,0.46,-1.13
200705,0.89,-1.07
200706,1.32,-0.36
200707,0.75,-0.16
200708,0.34,-0.47
200709,1.31,0.40
200710,1.60,-0.34
200711,1.59,-1.36
200712,5.04,1.80
200801,3.26,0.33
200802,1.53,-0.63
200803,1.45,-0.78
200804,0.86,-0.73
200805,0.96,-1.00
200806,1.67,-0.01
200807,0.41,-0.50
200808,1.85,1.04
200809,0.32,-0.59
200810,1.45,-0.49
200811,3.34,0.39
200812,2.36,-0.88
200901,2.71,-0.22
200902,1.13,-1.03
200903,1.93,-0.30
200904,0.91,-0.68
200905,1.60,-0.36
200906,1.02,-0.66
200907,1.27,0.36
200908,0.73,-0.08
200909,1.08,0.17
200910,3.08,1.14
200911,2.15,-0.80
200912,1.59,-1.65
201001,3.53,0.60
201002,2.25,0.09
201003,1.18,-1.05
201004,2.18,0.59
201005,3.64,1.68
201006,2.40,0.72
201007,0.32,-0.59
201008,1.19,0.38
201009,2.04,1.13
201010,1.62,-0.32
201011,2.68,-0.27
201012,3.63,0.39
201101,2.46,-0.47
201102,2.02,-0.14
201103,4.98,2.75
201104,1.46,-0.13
201105,3.95,1.99
201106,1.32,-0.36
201107,0.81,-0.10
201108,0.07,-0.74
201109,0.41,-0.50
201110,2.04,0.10
201111,2.82,-0.13
201112,1.63,-1.61
201201,3.10,0.17
201202,1.94,-0.22
201203,4.47,2.24
201204,2.06,0.47
201205,0.69,-1.27
201206,3.07,1.39
201207,2.16,1.25
201208,0.10,-0.71
201209,0.11,-0.80
201210,3.04,1.10
201211,4.17,1.22
201212,5.05,1.81
201301,1.69,-1.24
201302,0.86,-1.30
201303,1.44,-0.79
201304,1.91,0.32
201305,1.99,0.03
201306,2.16,0.48
201307,0.51,-0.40
201308,2.40,1.59
201309,3.69,2.78
201310,0.40,-1.54
201311,2.16,-0.79
201312,0.94,-2.30
201401,1.51,-1.42
201402,3.99,1.83
201403,2.93,0.70
201404,1.40,-0.19
201405,1.01,-0.95
201406,1.60,-0.08
201407,0.59,-0.32
201408,2.06,1.25
201409,1.05,0.14
201410,3.16,1.22
201411,3.90,0.95
201412,3.52,0.28
201501,2.09,-0.84
201502,1.81,-0.35
201503,1.66,-0.57
201504,0.39,-1.20
201505,1.92,-0.04
201506,0.62,-1.06
201507,0.44,-0.47
201508,0.66,-0.15
201509,0.46,-0.45
201510,1.99,0.05
201511,3.32,0.37
201512,5.77,2.53
201601,4.06,1.13
201602,2.04,-0.12
201603,3.94,1.71
201604,0.95,-0.64
201605,1.24,-0.72
201606,1.56,-0.12
201607,1.79,0.88
201608,0.24,-0.57
201609,0.82,-0.09
201610,5.64,3.70
201611,2.98,0.03
201612,2.17,-1.07
201701,2.55,-0.38
201702,3.69,1.53
201703,3.41,1.18
201704,3.60,2.01
201705,2.36,0.40
201706,0.75,-0.93
201707,0.01,-0.90
201708,0.03,-0.78
201709,0.31,-0.60
201710,2.44,0.50
201711,3.96,1.01
201712,2.18,-1.06
201801,4.47,1.54
201802,1.96,-0.20
201803,3.53,1.30
201804,2.97,1.38
201805,1.07,-0.89
201806,1.07,-0.61
201807,0.16,-0.75
201808,0.17,-0.64
201809,0.63,-0.28
201810,1.90,-0.04
201811,1.51,-1.44
201812,3.21,-0.03
201901,2.31,-0.62
201902,1.46,-0.70
201903,1.05,-1.18
201904,1.35,-0.24
201905,2.71,0.75
201906,0.76,-0.92
201907,0.90,-0.01
201908,0.81,0.00
201909,3.77,2.86
201910,1.30,-0.64
201911,0.93,-2.02
