Okanogan County, Washington, Average Temperature
200807,63.4,-0.5
200808,62.2,-1.3
200809,55.0,-0.6
200810,42.7,0.0
200811,33.7,2.4
200812,18.1,-5.6
200901,21.9,-2.9
200902,25.5,-2.0
200903,29.7,-4.6
200904,40.5,-1.2
200905,49.5,-0.5
200906,57.8,1.9
200907,66.1,2.2
200908,64.4,0.9
200909,57.6,2.0
200910,39.0,-3.7
200911,32.4,1.1
200912,19.9,-3.8
201001,29.1,4.3
201002,32.4,4.9
201003,36.4,2.1
201004,40.9,-0.8
201005,45.5,-4.5
201006,53.5,-2.4
201007,63.0,-0.9
201008,61.3,-2.2
201009,53.2,-2.4
201010,44.9,2.2
201011,28.1,-3.2
201012,24.8,1.1
201101,25.3,0.5
201102,23.8,-3.7
201103,33.0,-1.3
201104,36.2,-5.5
201105,46.0,-4.0
201106,53.0,-2.9
201107,58.8,-5.1
201108,63.8,0.3
201109,58.7,3.1
201110,42.2,-0.5
201111,28.9,-2.4
201112,25.1,1.4
201201,22.4,-2.4
201202,27.8,0.3
201203,32.1,-2.2
201204,42.1,0.4
201205,47.8,-2.2
201206,52.0,-3.9
201207,64.2,0.3
201208,65.1,1.6
201209,58.2,2.6
201210,43.0,0.3
201211,32.7,1.4
201212,25.4,1.7
201301,22.5,-2.3
201302,29.2,1.7
201303,35.2,0.9
201304,40.8,-0.9
201305,50.6,0.6
201306,55.3,-0.6
201307,66.0,2.1
201308,63.6,0.1
201309,56.4,0.8
201310,42.6,-0.1
201311,30.9,-0.4
201312,21.2,-2.5
201401,28.8,4.0
201402,22.0,-5.5
201403,33.8,-0.5
201404,41.6,-0.1
201405,51.1,1.1
201406,55.9,0.0
201407,67.7,3.8
201408,65.4,1.9
201409,56.3,0.7
201410,46.8,4.1
201411,29.8,-1.5
201412,26.9,3.2
201501,28.3,3.5
201502,34.6,7.1
201503,40.3,6.0
201504,42.0,0.3
201505,53.4,3.4
201506,63.7,7.8
201507,67.1,3.2
201508,64.6,1.1
201509,53.1,-2.5
201510,48.0,5.3
201511,30.2,-1.1
201512,24.0,0.3
201601,26.3,1.5
201602,31.6,4.1
201603,36.9,2.6
201604,48.6,6.9
201605,52.6,2.6
201606,57.4,1.5
201607,61.5,-2.4
201608,64.2,0.7
201609,53.6,-2.0
201610,42.0,-0.7
201611,37.7,6.4
201612,18.4,-5.3
201701,18.4,-6.4
201702,23.6,-3.9
201703,33.2,-1.1
201704,39.9,-1.8
201705,50.6,0.6
201706,56.9,1.0
201707,66.8,2.9
201708,67.4,3.9
201709,56.7,1.1
201710,41.5,-1.2
201711,31.3,0.0
201712,22.3,-1.4
201801,27.9,3.1
201802,25.0,-2.5
201803,33.4,-0.9
201804,40.9,-0.8
201805,55.9,5.9
201806,55.4,-0.5
201807,66.1,2.2
201808,64.2,0.7
201809,53.0,-2.6
201810,43.4,0.7
201811,33.0,1.7
201812,26.2,2.5
201901,27.7,2.9
201902,17.7,-9.8
201903,31.8,-2.5
201904,42.0,0.3
201905,53.0,3.0
201906,57.4,1.5
201907,62.1,-1.8
201908,65.0,1.5
201909,53.4,-2.2
201910,38.3,-4.4
201911,32.8,1.5
