Skagit County, Washington, Average Temperature
200807,59.0,-1.7
200808,60.0,-1.3
200809,55.2,-0.9
200810,45.6,-1.0
200811,41.6,3.1
200812,29.5,-3.8
200901,32.4,-1.9
200902,35.0,-0.6
200903,34.2,-4.8
200904,43.2,-1.1
200905,49.4,-0.8
200906,57.0,2.3
200907,63.5,2.8
200908,61.2,-0.1
200909,57.8,1.7
200910,44.9,-1.7
200911,39.0,0.5
200912,30.2,-3.1
201001,38.8,4.5
201002,39.6,4.0
201003,40.7,1.7
201004,43.5,-0.8
201005,47.2,-3.0
201006,52.9,-1.8
201007,60.5,-0.2
201008,60.5,-0.8
201009,55.4,-0.7
201010,48.2,1.6
201011,35.7,-2.8
201012,34.6,1.3
201101,34.3,0.0
201102,32.5,-3.1
201103,37.4,-1.6
201104,39.0,-5.3
201105,46.2,-4.0
201106,52.6,-2.1
201107,56.7,-4.0
201108,60.2,-1.1
201109,58.2,2.1
201110,46.0,-0.6
201111,35.6,-2.9
201112,33.4,0.1
201201,32.9,-1.4
201202,36.2,0.6
201203,35.8,-3.2
201204,44.4,0.1
201205,48.3,-1.9
201206,50.8,-3.9
201207,59.7,-1.0
201208,62.6,1.3
201209,57.5,1.4
201210,46.5,-0.1
201211,39.2,0.7
201212,33.4,0.1
201301,32.3,-2.0
201302,36.2,0.6
201303,39.2,0.2
201304,43.1,-1.2
201305,50.9,0.7
201306,55.3,0.6
201307,62.2,1.5
201308,62.3,1.0
201309,57.1,1.0
201310,46.1,-0.5
201311,38.1,-0.4
201312,31.2,-2.1
201401,36.4,2.1
201402,31.5,-4.1
201403,38.7,-0.3
201404,43.9,-0.4
201405,51.8,1.6
201406,54.4,-0.3
201407,62.6,1.9
201408,63.5,2.2
201409,57.8,1.7
201410,50.9,4.3
201411,38.1,-0.4
201412,35.9,2.6
201501,37.9,3.6
201502,41.4,5.8
201503,43.8,4.8
201504,44.4,0.1
201505,53.7,3.5
201506,60.5,5.8
201507,64.3,3.6
201508,62.8,1.5
201509,53.8,-2.3
201510,50.7,4.1
201511,36.5,-2.0
201512,34.2,0.9
201601,34.6,0.3
201602,40.1,4.5
201603,41.4,2.4
201604,49.6,5.3
201605,52.4,2.2
201606,55.9,1.2
201607,59.6,-1.1
201608,62.7,1.4
201609,54.7,-1.4
201610,46.8,0.2
201611,42.8,4.3
201612,28.8,-4.5
201701,28.9,-5.4
201702,33.4,-2.2
201703,37.7,-1.3
201704,43.5,-0.8
201705,50.9,0.7
201706,55.4,0.7
201707,61.3,0.6
201708,64.1,2.8
201709,58.2,2.1
201710,45.4,-1.2
201711,38.4,-0.1
201712,32.6,-0.7
201801,36.7,2.4
201802,32.5,-3.1
201803,38.1,-0.9
201804,44.2,-0.1
201805,54.2,4.0
201806,54.6,-0.1
201807,63.5,2.8
201808,62.6,1.3
201809,54.6,-1.5
201810,47.0,0.4
201811,40.2,1.7
201812,34.4,1.1
201901,36.6,2.3
201902,28.0,-7.6
201903,39.4,0.4
201904,44.2,-0.1
201905,53.1,2.9
201906,56.0,1.3
201907,60.1,-0.6
201908,62.6,1.3
201909,55.8,-0.3
201910,43.5,-3.1
201911,39.8,1.3
