Whitman County, Washington, Average Temperature
200807,68.7,-0.8
200808,68.1,-0.8
200809,60.2,-0.7
200810,49.1,0.3
200811,42.1,3.6
200812,25.9,-5.3
200901,29.7,-2.5
200902,35.8,0.8
200903,36.8,-4.9
200904,46.0,-1.8
200905,55.4,0.0
200906,62.6,1.0
200907,70.4,0.9
200908,70.0,1.1
200909,63.5,2.6
200910,44.5,-4.3
200911,39.3,0.8
200912,26.1,-5.1
201001,38.3,6.1
201002,39.6,4.6
201003,42.8,1.1
201004,47.0,-0.8
201005,50.8,-4.6
201006,59.6,-2.0
201007,67.7,-1.8
201008,67.3,-1.6
201009,59.9,-1.0
201010,50.9,2.1
201011,35.6,-2.9
201012,33.5,2.3
201101,32.9,0.7
201102,31.7,-3.3
201103,41.4,-0.3
201104,42.7,-5.1
201105,51.6,-3.8
201106,58.3,-3.3
201107,65.2,-4.3
201108,68.8,-0.1
201109,64.2,3.3
201110,49.7,0.9
201111,37.2,-1.3
201112,31.3,0.1
201201,32.9,0.7
201202,36.0,1.0
201203,40.5,-1.2
201204,49.2,1.4
201205,53.4,-2.0
201206,59.6,-2.0
201207,70.7,1.2
201208,69.7,0.8
201209,61.9,1.0
201210,49.0,0.2
201211,41.2,2.7
201212,33.8,2.6
201301,26.9,-5.3
201302,36.4,1.4
201303,42.2,0.5
201304,46.3,-1.5
201305,56.1,0.7
201306,61.4,-0.2
201307,71.1,1.6
201308,70.6,1.7
201309,63.2,2.3
201310,46.1,-2.7
201311,36.4,-2.1
201312,28.0,-3.2
201401,32.6,0.4
201402,29.3,-5.7
201403,42.0,0.3
201404,47.8,0.0
201405,56.7,1.3
201406,61.0,-0.6
201407,74.0,4.5
201408,71.6,2.7
201409,62.8,1.9
201410,54.4,5.6
201411,36.6,-1.9
201412,34.6,3.4
201501,34.5,2.3
201502,41.4,6.4
201503,46.5,4.8
201504,47.3,-0.5
201505,58.3,2.9
201506,69.2,7.6
201507,72.6,3.1
201508,70.8,1.9
201509,58.8,-2.1
201510,55.5,6.7
201511,36.2,-2.3
201512,32.8,1.6
201601,33.2,1.0
201602,41.1,6.1
201603,43.6,1.9
201604,54.1,6.3
201605,57.3,1.9
201606,63.3,1.7
201607,67.4,-2.1
201608,68.8,-0.1
201609,58.8,-2.1
201610,50.1,1.3
201611,45.2,6.7
201612,25.3,-5.9
201701,21.7,-10.5
201702,33.3,-1.7
201703,42.8,1.1
201704,47.2,-0.6
201705,56.5,1.1
201706,63.6,2.0
201707,72.6,3.1
201708,72.6,3.7
201709,61.8,0.9
201710,47.6,-1.2
201711,40.3,1.8
201712,28.8,-2.4
201801,37.0,4.8
201802,32.6,-2.4
201803,40.8,-0.9
201804,47.7,-0.1
201805,60.5,5.1
201806,61.1,-0.5
201807,70.6,1.1
201808,69.5,0.6
201809,58.1,-2.8
201810,48.0,-0.8
201811,39.0,0.5
201812,33.6,2.4
201901,33.8,1.6
201902,24.8,-10.2
201903,33.9,-7.8
201904,48.4,0.6
201905,57.6,2.2
201906,63.1,1.5
201907,67.4,-2.1
201908,70.0,1.1
201909,60.5,-0.4
201910,43.4,-5.4
201911,38.6,0.1
