Skagit County, Washington, Precipitation
199602,11.26,3.84
199603,3.54,-5.14
199604,8.75,3.06
199605,6.57,2.74
199606,1.03,-2.07
199607,1.56,-0.01
199608,1.46,-0.48
199609,4.76,1.16
199610,11.46,2.93
199611,12.83,-0.42
199612,16.94,5.88
199701,16.44,4.95
199702,8.09,0.67
199703,15.88,7.20
199704,6.21,0.52
199705,4.39,0.56
199706,6.11,3.01
199707,3.65,2.08
199708,1.24,-0.70
199709,7.36,3.76
199710,12.28,3.75
199711,6.93,-6.32
199712,9.99,-1.07
199801,12.68,1.19
199802,5.39,-2.03
199803,7.31,-1.37
199804,2.88,-2.81
199805,4.19,0.36
199806,2.38,-0.72
199807,1.37,-0.20
199808,0.27,-1.67
199809,1.10,-2.50
199810,5.58,-2.95
199811,17.21,3.96
199812,19.14,8.08
199901,14.70,3.21
199902,14.49,7.07
199903,9.05,0.37
199904,2.96,-2.73
199905,4.93,1.10
199906,3.63,0.53
199907,2.20,0.63
199908,2.42,0.48
199909,1.62,-1.98
199910,8.69,0.16
199911,15.42,2.17
199912,15.09,4.03
200001,10.32,-1.17
200002,5.79,-1.63
200003,8.08,-0.60
200004,5.16,-0.53
200005,6.07,2.24
200006,4.13,1.03
200007,1.62,0.05
200008,1.45,-0.49
200009,4.26,0.66
200010,6.00,-2.53
200011,4.96,-8.29
200012,6.10,-4.96
200101,6.77,-4.72
200102,3.57,-3.85
200103,6.74,-1.94
200104,5.25,-0.44
200105,4.22,0.39
200106,4.35,1.25
200107,1.23,-0.34
200108,3.14,1.20
200109,1.62,-1.98
200110,11.67,3.14
200111,11.82,-1.43
200112,12.93,1.87
200201,14.28,2.79
200202,10.10,2.68
200203,8.80,0.12
200204,7.18,1.49
200205,3.65,-0.18
200206,3.47,0.37
200207,1.48,-0.09
200208,0.84,-1.10
200209,2.11,-1.49
200210,1.32,-7.21
200211,7.17,-6.08
200212,9.46,-1.60
200301,13.85,2.36
200302,4.18,-3.24
200303,13.45,4.77
200304,5.85,0.16
200305,2.80,-1.03
200306,0.87,-2.23
200307,0.26,-1.31
200308,0.41,-1.53
200309,2.11,-1.49
200310,17.80,9.27
200311,14.88,1.63
200312,8.01,-3.05
200401,10.60,-0.89
200402,3.61,-3.81
200403,7.51,-1.17
200404,1.37,-4.32
200405,4.70,0.87
200406,2.54,-0.56
200407,0.69,-0.88
200408,6.50,4.56
200409,7.86,4.26
200410,5.93,-2.60
200411,11.77,-1.48
200412,10.78,-0.28
200501,9.03,-2.46
200502,2.38,-5.04
200503,7.26,-1.42
200504,5.98,0.29
200505,3.79,-0.04
200506,3.23,0.13
200507,2.16,0.59
200508,1.41,-0.53
200509,3.83,0.23
200510,8.04,-0.49
200511,9.27,-3.98
200512,9.37,-1.69
200601,19.68,8.19
200602,7.40,-0.02
200603,4.77,-3.91
200604,5.09,-0.60
200605,3.42,-0.41
200606,2.97,-0.13
200607,1.28,-0.29
200608,0.32,-1.62
200609,2.68,-0.92
200610,3.28,-5.25
200611,23.19,9.94
200612,11.23,0.17
200701,11.52,0.03
200702,6.91,-0.51
200703,12.20,3.52
200704,4.37,-1.32
200705,2.13,-1.70
200706,3.02,-0.08
200707,1.83,0.26
200708,1.34,-0.60
200709,3.02,-0.58
200710,8.81,0.28
200711,7.03,-6.22
200712,15.37,4.31
200801,8.51,-2.98
200802,8.00,0.58
200803,8.40,-0.28
200804,4.08,-1.61
200805,3.37,-0.46
200806,2.94,-0.16
200807,1.23,-0.34
200808,5.36,3.42
200809,1.58,-2.02
200810,4.91,-3.62
200811,13.96,0.71
200812,9.87,-1.19
200901,14.12,2.63
200902,2.69,-4.73
200903,8.19,-0.49
200904,4.67,-1.02
200905,5.63,1.80
200906,1.03,-2.07
200907,1.24,-0.33
200908,1.58,-0.36
200909,3.69,0.09
200910,14.21,5.68
200911,17.09,3.84
200912,5.02,-6.04
201001,9.86,-1.63
201002,4.36,-3.06
201003,6.51,-2.17
201004,6.46,0.77
201005,6.46,2.63
201006,4.03,0.93
201007,0.21,-1.36
201008,1.60,-0.34
201009,8.07,4.47
201010,5.80,-2.73
201011,10.56,-2.69
201012,12.72,1.66
201101,15.87,4.38
201102,8.01,0.59
201103,13.96,5.28
201104,9.02,3.33
201105,5.86,2.03
201106,2.20,-0.90
201107,2.23,0.66
201108,0.38,-1.56
201109,3.03,-0.57
201110,6.55,-1.98
201111,13.94,0.69
201112,5.68,-5.38
201201,13.18,1.69
201202,9.67,2.25
201203,13.11,4.43
201204,7.24,1.55
201205,4.75,0.92
201206,5.51,2.41
201207,3.01,1.44
201208,0.07,-1.87
201209,0.40,-3.20
201210,13.05,4.52
201211,12.55,-0.70
201212,13.15,2.09
201301,10.65,-0.84
201302,5.82,-1.60
201303,8.38,-0.30
201304,8.64,2.95
201305,4.48,0.65
201306,3.20,0.10
201307,0.27,-1.30
201308,3.51,1.57
201309,10.69,7.09
201310,3.30,-5.23
201311,9.30,-3.95
201312,6.37,-4.69
201401,11.09,-0.40
201402,10.77,3.35
201403,16.97,8.29
201404,6.78,1.09
201405,5.25,1.42
201406,2.83,-0.27
201407,2.11,0.54
201408,2.14,0.20
201409,4.85,1.25
201410,11.94,3.41
201411,14.31,1.06
201412,11.07,0.01
201501,10.79,-0.70
201502,7.80,0.38
201503,8.68,0.00
201504,3.80,-1.89
201505,1.32,-2.51
201506,0.78,-2.32
201507,0.95,-0.62
201508,3.37,1.43
201509,4.75,1.15
201510,8.22,-0.31
201511,16.12,2.87
201512,17.74,6.68
201601,11.39,-0.10
201602,10.97,3.55
201603,10.53,1.85
201604,2.90,-2.79
201605,1.94,-1.89
201606,3.59,0.49
201607,1.74,0.17
201608,0.43,-1.51
201609,4.94,1.34
201610,16.47,7.94
201611,14.15,0.90
201612,9.25,-1.81
201701,5.50,-5.99
201702,10.95,3.53
201703,16.85,8.17
201704,6.76,1.07
201705,3.78,-0.05
201706,2.03,-1.07
201707,0.04,-1.53
201708,0.20,-1.74
201709,1.71,-1.89
201710,10.81,2.28
201711,16.50,3.25
201712,9.81,-1.25
201801,14.51,3.02
201802,12.23,4.81
201803,6.00,-2.68
201804,9.84,4.15
201805,0.97,-2.86
201806,2.61,-0.49
201807,0.62,-0.95
201808,0.58,-1.36
201809,4.70,1.10
201810,6.35,-2.18
201811,12.72,-0.53
201812,12.71,1.65
201901,7.42,-4.07
201902,5.25,-2.17
201903,2.49,-6.19
201904,6.31,0.62
201905,2.16,-1.67
201906,2.35,-0.75
201907,1.51,-0.06
201908,1.24,-0.70
201909,6.65,3.05
201910,9.01,0.48
201911,4.95,-8.30
